Filename, TSM, FileMeanOS, SMOS, OMOS
Female_BV_1_HPTSM_192.4_per.wav, 192.4, 3.1162443594819207, 3.116244316101074, 3.661550760269165
Male_19_WSOLA_44.27_per.wav, 44.27, 1.7473815634860161, 1.747381567955017, 2.342391848564148
Alto_Sax_17_WSOLA_192.4_per.wav, 192.4, 4.355010975677055, 4.355010986328125, 4.25946044921875
Saxophones_3_HPTSM_44.27_per.wav, 44.27, 3.0152948011087117, 3.0152947902679443, 3.3420677185058594
Thumb_Piano_01_WSOLA_78.21_per.wav, 78.21, 3.974293790243295, 3.9742937088012695, 3.7333245277404785
Saxophones_3_PV_IPL_65.24_per.wav, 65.24, 4.023001612392632, 4.023001670837402, 3.706804037094116
Female_9_PV_IPL_99.61_per.wav, 99.61, 4.693641886573462, 4.693641901016235, 4.518664598464966
Triangle_01_uTVS_44.27_per.wav, 44.27, 3.511667539194828, 3.511667490005493, 3.3436529636383057
Jazz_1_uTVS_82.58_per.wav, 82.58, 3.6303613953214358, 3.630361318588257, 3.4788758754730225
Choral_uTVS_44.27_per.wav, 44.27, 2.945712208044957, 2.9457122087478638, 3.10880184173584
Male_7_FESOLA_138.1_per.wav, 138.1, 4.271402056600583, 4.27140212059021, 4.113029479980469
Piano_Turkish_uTVS_78.21_per.wav, 78.21, 3.921033374628356, 3.9210333824157715, 3.8863043785095215
Woodwinds_3_PV_38.38_per.wav, 38.38, 3.018280390132434, 3.018280506134033, 3.429434061050415
Male_18_PV_192.4_per.wav, 192.4, 3.202415928819608, 3.202415943145752, 3.4186506271362305
C_minor_Aeolian_uTVS_99.61_per.wav, 99.61, 4.474796296303653, 4.474796295166016, 3.89821457862854
Rain_Stick_St_05_HPTSM_99.61_per.wav, 99.61, 4.450078041694302, 4.450078010559082, 4.092233180999756
Yellow_Violin_FESOLA_38.38_per.wav, 38.38, 2.4128285808029744, 2.41282856464386, 3.0245862007141113
G_Minor_WSOLA_99.61_per.wav, 99.61, 4.74769185181197, 4.747691869735718, 4.0275187492370605
Child_1_PV_99.61_per.wav, 99.61, 4.93833072915845, 4.93833065032959, 3.8457155227661133
Rock_2_FESOLA_78.21_per.wav, 78.21, 1.8013970781272053, 1.8013970851898193, 3.5571956634521484
C_minor_Aeolian_PV_IPL_53.83_per.wav, 53.83, 1.729927006768365, 1.7299270033836365, 3.518723249435425
Perc_2_WSOLA_99.61_per.wav, 99.61, 4.260473989338519, 4.260473966598511, 3.8181517124176025
