Filename, TSM, FileMeanOS, SMOS, OMOS27,
Farmacist_2_PV_44.27_per.wav,44.27,2.57827672,2.578276753,2.621414423, 
Alto_Sax_17_FESOLA_44.27_per.wav,44.27,2.52305202,2.523051977,2.205825567, 
Alto_Sax_16_WSOLA_44.27_per.wav,44.27,2.564938737,2.564938784,2.810560703, 
Solo_flute_3_PV_IPL_44.27_per.wav,44.27,2.831217565,2.831217527,2.694499731, 
Synth_Pad_1_WSOLA_78.21_per.wav,78.21,3.675068839,3.675068855,3.856390238, 
Male_15_HPTSM_44.27_per.wav,44.27,2.743486892,2.743486881,2.374969959, 
Male_21_uTVS_65.24_per.wav,65.24,2.79129684,2.79129684,3.045147419, 
Female_opera_HPTSM_38.38_per.wav,38.38,2.195433167,2.19543314,2.325051904, 
Rain_Stick_St_04_WSOLA_53.83_per.wav,53.83,2.593551625,2.593551636,2.050533414, 
Male_15_WSOLA_78.21_per.wav,78.21,3.911055493,3.911055565,3.88574338, 
Synth_Bass_1_PV_IPL_99.61_per.wav,99.61,2.723623797,2.723623753,2.002282381, 
Piano_Turkish_PV_IPL_53.83_per.wav,53.83,3.177753954,3.177753925,3.672157049, 
Voice_and_Piano_5_PV_99.61_per.wav,99.61,4.326319976,4.326319933,4.084329128, 
Male_21_FESOLA_65.24_per.wav,65.24,2.109217629,2.109217644,2.428941846, 
C_minor_Aeolian_WSOLA_44.27_per.wav,44.27,1.582383786,1.582383811,1.551631391, 
Electropop_6_uTVS_138.1_per.wav,138.1,4.561519349,4.561519384,4.336290121, 
Ocarina_01_uTVS_166.7_per.wav,166.7,4.09150397,4.091503859,4.102039337, 
Dorothy_2_FESOLA_44.27_per.wav,44.27,1.205212806,1.205212802,1.385852516, 
Female_1_FESOLA_166.7_per.wav,166.7,4.066481431,4.066481352,3.921542168, 
Rain_Stick_St_04_HPTSM_138.1_per.wav,138.1,3.739528165,3.739528179,4.271250963, 
Ocarina_01_HPTSM_99.61_per.wav,99.61,4.589748743,4.589748859,4.403984785, 
Female_opera_PV_IPL_99.61_per.wav,99.61,4.558173769,4.558173656,4.508516312, 
Chiptune_HPTSM_65.24_per.wav,65.24,4.161181799,4.161181688,3.8338027, 
Thumb_Piano_01_PV_166.7_per.wav,166.7,3.47879468,3.478794575,3.607787609, 
Child_2_PV_IPL_38.38_per.wav,38.38,1.895536963,1.895536959,1.74400574, 
Oboe_cello_2_HPTSM_38.38_per.wav,38.38,3.582226096,3.582226038,3.551408529, 
Chiptune_WSOLA_65.24_per.wav,65.24,4.26382777,4.263827801,3.73623395, 
Male_7_uTVS_82.58_per.wav,82.58,4.530513526,4.530513525,3.869821787, 
Drums_2_PV_138.1_per.wav,138.1,3.290464994,3.290464878,3.474479198, 
Male_9_PV_99.61_per.wav,99.61,4.689088599,4.689088583,3.936071396, 
Oriental_2_uTVS_192.4_per.wav,192.4,3.585753056,3.585752964,3.598980188, 
Rain_Stick_St_05_uTVS_78.21_per.wav,78.21,3.96662824,3.966628313,4.075822353, 
Alto_Sax_17_FESOLA_166.7_per.wav,166.7,3.911184071,3.911184072,3.756565094, 
Piano_Turkish_PV_IPL_138.1_per.wav,138.1,4.684917851,4.684917927,4.410791397, 
Rain_Stick_St_04_WSOLA_44.27_per.wav,44.27,1.803552862,1.803552866,1.659284055, 
Male_sing_1_uTVS_78.21_per.wav,78.21,2.647992034,2.647992015,3.307512999, 
Female_5_PV_IPL_138.1_per.wav,138.1,3.92646786,3.926467896,3.93178916, 
E_piano_1_FESOLA_53.83_per.wav,53.83,1.875392629,1.875392616,1.662574172, 
Voice_and_Piano_4_HPTSM_192.4_per.wav,192.4,3.635717428,3.635717392,3.652183533, 
Child_2_FESOLA_166.7_per.wav,166.7,3.935178631,3.935178518,3.761518717, 
Male_8_WSOLA_38.38_per.wav,38.38,1.640683826,1.64068383,1.84088403, 
Jazz_1_uTVS_78.21_per.wav,78.21,3.287605811,3.287605762,3.815582037, 
G_Minor_HPTSM_138.1_per.wav,138.1,4.570835388,4.570835352,4.268779755, 
Triangle_01_HPTSM_44.27_per.wav,44.27,3.691908357,3.69190836,3.75935173, 
