Filename, TSM, FileMeanOS, SMOS, OMOS0, OMOS1, OMOS2, OMOS3, OMOS4, OMOS5, OMOS6, OMOS7, OMOS8, OMOS9, OMOS10, OMOS11, OMOS12, OMOS13, OMOS14, OMOS15, OMOS16, OMOS17, OMOS18, OMOS19, OMOS20, OMOS21, OMOS22, OMOS23, OMOS24, OMOS25, OMOS26, OMOS27, OMOS28, OMOS29
Farmacist_2_PV_44.27_per.wav, 44.27, 2.578276720337482, 2.578276753425598, 2.952206254005432, 3.482508420944214, 3.5998547077178955, 2.6897553205490112, 2.927719473838806, 3.161195993423462, 3.129479169845581, 2.901646137237549, 2.6198474168777466, 2.604373812675476, 2.6676993370056152, 2.288426637649536, 2.5551557540893555, 2.6953245401382446, 2.886078357696533, 2.517846465110779, 2.708577513694763, 2.863717794418335, 2.7997623682022095, 2.6150816679000854, 2.5734708309173584, 2.6984869241714478, 2.6191835403442383, 2.653888702392578, 2.616926670074463, 2.951804995536804, 2.595985174179077, 2.7260255813598633, 2.719629645347595, 2.752827763557434, 
Alto_Sax_17_FESOLA_44.27_per.wav, 44.27, 2.5230520198495117, 2.5230519771575928, 3.438150405883789, 2.7651798725128174, 2.7183622121810913, 2.9278496503829956, 3.361565113067627, 2.991132616996765, 2.5258594751358032, 2.4902034997940063, 2.3506213426589966, 2.4407804012298584, 2.1028164625167847, 2.3397096395492554, 2.160432457923889, 2.886396050453186, 2.155851721763611, 2.2751247882843018, 2.34165358543396, 2.353524923324585, 2.40926456451416, 2.3547134399414062, 2.544007182121277, 2.553156018257141, 2.2945396900177, 2.4370492696762085, 2.182444214820862, 2.1193617582321167, 2.0554217100143433, 2.3384599685668945, 2.3738054037094116, 2.326436996459961, 
Alto_Sax_16_WSOLA_44.27_per.wav, 44.27, 2.5649387367757717, 2.56493878364563, 3.5356647968292236, 3.775146007537842, 2.9886059761047363, 3.260233163833618, 2.6427927017211914, 3.737783432006836, 3.2131664752960205, 2.789840579032898, 3.4033970832824707, 3.087975263595581, 3.1798627376556396, 2.8211824893951416, 3.2592480182647705, 2.6410436630249023, 3.0264811515808105, 2.79888653755188, 2.742583155632019, 2.963156223297119, 2.9814043045043945, 3.077446460723877, 2.893320679664612, 2.693039894104004, 2.698140025138855, 2.7315064668655396, 2.6478283405303955, 2.6608240604400635, 2.7557101249694824, 2.872599244117737, 2.5082215070724487, 2.54828143119812, 
Solo_flute_3_PV_IPL_44.27_per.wav, 44.27, 2.831217565081867, 2.8312175273895264, 3.329392433166504, 4.140105724334717, 3.705416440963745, 3.9587981700897217, 3.9484927654266357, 2.6971296072006226, 3.338773727416992, 2.7868045568466187, 2.8135037422180176, 3.1094930171966553, 3.0838801860809326, 2.9544447660446167, 2.7760480642318726, 3.1219582557678223, 2.799604058265686, 3.2148613929748535, 2.448288917541504, 3.1900689601898193, 2.78053617477417, 2.8358157873153687, 2.7203420400619507, 2.5456764698028564, 3.0384345054626465, 2.707483172416687, 2.645041823387146, 2.6793060302734375, 2.548957109451294, 2.681759476661682, 2.9182177782058716, 2.8991899490356445, 
Synth_Pad_1_WSOLA_78.21_per.wav, 78.21, 3.6750688389511317, 3.6750688552856445, 3.3295106887817383, 3.382838487625122, 3.9013121128082275, 4.224444150924683, 3.776345729827881, 3.8295810222625732, 3.8910303115844727, 3.364769458770752, 3.707103967666626, 3.2918858528137207, 3.7114174365997314, 3.5748836994171143, 3.4823222160339355, 3.646986484527588, 3.4097423553466797, 3.320668935775757, 4.004990100860596, 4.451505422592163, 3.5017881393432617, 3.7165744304656982, 3.729335308074951, 3.3816113471984863, 3.242176055908203, 3.6555287837982178, 3.96095871925354, 3.500366449356079, 3.9574294090270996, 3.6917872428894043, 3.4408373832702637, 3.5414695739746094, 
Male_15_HPTSM_44.27_per.wav, 44.27, 2.7434868921810995, 2.7434868812561035, 3.150649070739746, 2.228837251663208, 2.3438940048217773, 2.2232686281204224, 2.0166066884994507, 2.150914192199707, 2.187483787536621, 2.130643606185913, 2.4862996339797974, 2.5252439975738525, 2.310336470603943, 2.8199328184127808, 2.6835544109344482, 2.434452772140503, 2.623560309410095, 2.6662888526916504, 2.619685649871826, 2.598042607307434, 2.845949172973633, 2.7271093130111694, 2.488734722137451, 2.4254897832870483, 2.91930890083313, 2.7758868932724, 2.6313257217407227, 2.59969699382782, 2.7085155248641968, 2.5731476545333862, 2.646823525428772, 2.6347321271896362, 
Male_21_uTVS_65.24_per.wav, 65.24, 2.791296840001839, 2.7912968397140503, 2.625497817993164, 2.5584120750427246, 2.3657792806625366, 2.502000331878662, 3.0069425106048584, 2.1230626106262207, 3.267364978790283, 2.8624497652053833, 2.6805548667907715, 2.903841257095337, 3.1587884426116943, 3.106374979019165, 2.609964609146118, 2.70856511592865, 2.961557388305664, 2.6941585540771484, 2.5556323528289795, 2.982797145843506, 2.7728641033172607, 2.9803444147109985, 2.749420404434204, 2.7660073041915894, 3.2510530948638916, 2.781700611114502, 2.815653920173645, 2.8190749883651733, 2.7903114557266235, 2.62821364402771, 2.757711887359619, 2.7251217365264893, 
Female_opera_HPTSM_38.38_per.wav, 38.38, 2.1954331670820304, 2.1954331398010254, 3.167104959487915, 2.9741142988204956, 2.954949736595154, 2.659576654434204, 2.0657674074172974, 2.797600746154785, 2.7402225732803345, 2.0243771076202393, 2.8943816423416138, 1.8722676038742065, 2.3279556035995483, 1.8251197338104248, 2.762914776802063, 2.1115520000457764, 2.007321000099182, 2.4627269506454468, 2.3132461309432983, 2.4315582513809204, 2.111938953399658, 2.4518344402313232, 1.9936537742614746, 2.1963276863098145, 2.7008981704711914, 2.2106189727783203, 2.2998199462890625, 2.195804476737976, 2.450143337249756, 2.2473409175872803, 2.1635223627090454, 2.2030954360961914, 
Rain_Stick_St_04_WSOLA_53.83_per.wav, 53.83, 2.593551625183946, 2.5935516357421875, 3.3999831676483154, 2.285414218902588, 1.852822184562683, 2.0878281593322754, 3.3867931365966797, 2.4177377223968506, 2.8489099740982056, 2.7414265871047974, 2.1681541204452515, 2.866814970970154, 2.5057657957077026, 2.2652422189712524, 2.2298858165740967, 2.105705142021179, 2.2964447736740112, 2.2271885871887207, 2.5882813930511475, 2.1494762897491455, 2.809693455696106, 2.6112550497055054, 2.177414894104004, 2.2459816932678223, 2.4661790132522583, 2.3661400079727173, 2.3791654109954834, 2.3480353355407715, 2.3419761657714844, 2.7159453630447388, 2.3544892072677612, 2.43338406085968, 
Male_15_WSOLA_78.21_per.wav, 78.21, 3.911055493242787, 3.911055564880371, 3.610476493835449, 3.8861002922058105, 3.847447156906128, 2.8252769708633423, 3.1509876251220703, 3.6525423526763916, 3.998361110687256, 3.6582236289978027, 3.413851499557495, 3.3320677280426025, 3.835596799850464, 4.182619333267212, 3.9168410301208496, 3.9936771392822266, 3.68096923828125, 4.0576629638671875, 4.121381044387817, 3.8263278007507324, 3.706475019454956, 3.8520429134368896, 4.033713340759277, 3.9548232555389404, 4.242480278015137, 3.9991421699523926, 4.075114011764526, 3.9844651222229004, 3.4094879627227783, 4.10157322883606, 3.7564456462860107, 3.849364995956421, 
